perturbagen,treatment,cellline,similarity
Bupropion,CTLA4,VCAP,0.6138
Bupropion,CCL2,VCAP,0.5719
Bupropion,NFKB1,VCAP,-0.5066
Carbetocin,NFKB1,VCAP,0.6352
Carbetocin,TGFBR1,VCAP,0.6333
Carbetocin,ANPEP,VCAP,0.6297
Carbetocin,CD19,VCAP,0.591
Carbetocin,TGFBR2,VCAP,-0.7065
Carbetocin,CTLA4,VCAP,0.6643
Carbetocin,CD44,VCAP,0.6581
Chloroquine,DPP4,VCAP,0.6728
Chloroquine,MMEL1,VCAP,0.5906
Chloroquine,NFKB1,VCAP,0.7148
Chloroquine,TGFBR1,VCAP,0.6603
Chloroquine,CTLA4,VCAP,0.7058
Chloroquine,CD44,VCAP,0.6615
Desmopressin,TLR7,VCAP,0.4236
Desmopressin,NFKB1,VCAP,0.4042
Desmopressin,IL6,VCAP,0.3946
Desmopressin,DPP4,VCAP,0.4858
Lopinavir,TGFBR1,VCAP,0.4843
Lopinavir,CTLA4,VCAP,0.7049
Lopinavir,ANPEP,VCAP,-0.5744
Lopinavir,CD44,VCAP,0.5937
Benazepril,DPP4,VCAP,0.6218
Benazepril,TNF,VCAP,0.5046
Benazepril,CCL2,VCAP,0.4552
Benazepril,NFKB1,VCAP,-0.5286
Benazepril,TGFBR2,VCAP,0.7592
Benazepril,ANPEP,VCAP,0.61
Benazepril,CD81,VCAP,0.6016
Benazepril,IL6,VCAP,0.5861
Benazepril,TGFBR1,VCAP,0.5742
Benazepril,CD44,VCAP,-0.5195
Captopril,CD44,VCAP,0.5637
Captopril,CTLA4,VCAP,0.7289
Enalapril,CTLA4,VCAP,0.7126
Enalapril,DPP4,VCAP,0.692
Enalapril,CD44,VCAP,0.6618
Enalapril,CD83,VCAP,0.5793
Fosinopril,ANPEP,VCAP,0.4619
Fosinopril,CTLA4,VCAP,0.6632
Fosinopril,CD44,VCAP,0.5987
Lisinopril,CTLA4,VCAP,-0.6095
Lisinopril,NFKB1,VCAP,0.4945
Lisinopril,IL2RA,VCAP,0.4337
Moexipril,CTLA4,VCAP,0.5986
Moexipril,CD44,VCAP,0.5512
Moexipril,NFKB1,VCAP,0.4869
Olmesartan,CD44,VCAP,-0.627
Olmesartan,TGFBR2,VCAP,0.7789
Olmesartan,TGFBR1,VCAP,0.6981
Olmesartan,ANPEP,VCAP,0.6633
Olmesartan,CTLA4,VCAP,-0.6509
Olmesartan,NFKB1,VCAP,0.6398
Perindopril,CTLA4,VCAP,0.7345
Perindopril,CD44,VCAP,0.6901
Quinapril,TGFBR3,VCAP,0.2476
Quinapril,CTLA4,VCAP,-0.5679
Quinapril,CD44,VCAP,0.5147
Quinapril,TGFBR2,VCAP,0.6436
Quinapril,DPP4,VCAP,0.6287
Quinapril,CD81,VCAP,0.6068
Quinapril,TGFBR1,VCAP,0.5104
Ramipril,CD44,VCAP,0.5535
Ramipril,CTLA4,VCAP,0.623
Ramipril,NFKB1,VCAP,0.5349
Ramipril,TGFBR1,VCAP,0.505
Ramipril,ANPEP,VCAP,0.4758
Telmisartan,TGFBR3,VCAP,0.2831
Telmisartan,DPP4,VCAP,0.5082
Telmisartan,CTLA4,VCAP,0.6948
Telmisartan,CD44,VCAP,0.6699
Telmisartan,TGFBR2,VCAP,0.6993
Telmisartan,ANPEP,VCAP,0.65
Telmisartan,NFKB1,VCAP,0.6292
Telmisartan,TGFBR1,VCAP,0.6077
Telmisartan,CD19,VCAP,0.5179
Valsartan,NFKB1,VCAP,0.5569
Valsartan,CTLA4,VCAP,0.6682
Valsartan,CD44,VCAP,0.5687
Valsartan,TGFBR1,VCAP,0.5515
Hydroxychloroquine,ANPEP,VCAP,0.4177
Hydroxychloroquine,CTLA4,VCAP,0.6821
Hydroxychloroquine,NFKB1,VCAP,-0.5427
Hydroxychloroquine,CD19,VCAP,-0.5097
Hydroxychloroquine,TGFBR1,VCAP,-0.4898
