perturbagen,treatment,cellline,similarity
Carbetocin,TNFRSF21,A375,0.4584
Carbetocin,CD83,A375,0.3215
Carbetocin,CTLA4,A375,0.3088
Desmopressin,TLR7,A375,0.2834
Desmopressin,TNFRSF10B,A375,0.2696
Desmopressin,IL6ST,A375,0.2695
Desmopressin,TNFSF4,A375,0.2461
Desmopressin,TNFRSF17,A375,0.2132
Chloroquine,TNFRSF17,A375,0.5984
Chloroquine,CD40,A375,0.4022
Chloroquine,TNFSF8,A375,0.3506
Chloroquine,TNFRSF13C,A375,0.3462
Bupropion,TNFRSF21,A375,0.689
Bupropion,CD83,A375,0.6406
Bupropion,TLR7,A375,0.6254
Bupropion,ARG1,A375,0.5069
Bupropion,TNFRSF13C,A375,0.506
Bupropion,CD40,A375,0.3102
Bupropion,TNFRSF10A,A375,0.2835
Bupropion,TNFRSF17,A375,0.2762
Bupropion,TNFRSF11A,A375,0.2409
Bupropion,IL6ST,A375,0.3677
Bupropion,C1QTNF6,A375,0.3107
Bupropion,CD46,A375,0.3077
Bupropion,TNF,A375,0.2579
