perturbagen,treatment,cellline,similarity
Bupropion,IL2RA,PC3,0.5081
Bupropion,IL2RB,PC3,0.5849
Bupropion,IL6R,PC3,0.5525
Bupropion,CD46,PC3,0.5254
Carbetocin,IL2RA,PC3,-0.5789
Carbetocin,IL6R,PC3,-0.5156
Chloroquine,CD46,PC3,0.5807
Desmopressin,IL2RA,PC3,0.375
Lopinavir,IL2RB,PC3,0.5502
Lopinavir,IL2RA,PC3,-0.5426
Benazepril,IL2RA,PC3,0.6107
Benazepril,IL6R,PC3,0.5221
Captopril,TLR9,PC3,0.298
Captopril,IL2RB,PC3,-0.5796
Captopril,CD46,PC3,0.6694
Enalapril,IL2RB,PC3,-0.5919
Enalapril,IL2RA,PC3,0.4992
Fosinopril,IL2RA,PC3,0.4821
Fosinopril,IL2RB,PC3,0.4672
Lisinopril,IL6R,PC3,0.5034
Moexipril,IL2RB,PC3,0.5294
Olmesartan,IL2RB,PC3,0.6785
Olmesartan,IL6R,PC3,0.6291
Olmesartan,IL2RA,PC3,0.628
Perindopril,IL2RB,PC3,0.569
Perindopril,IL2RA,PC3,0.478
Quinapril,IL2RB,PC3,0.5928
Quinapril,IL6R,PC3,0.55
Quinapril,IL2RA,PC3,0.4976
Ramipril,IL2RB,PC3,-0.5259
Telmisartan,IL2RB,PC3,0.6292
Telmisartan,IL2RA,PC3,0.6049
Valsartan,IL2RA,PC3,0.5426
Valsartan,IL2RB,PC3,0.6377
Hydroxychloroquine,IL2RA,PC3,0.3782
