perturbagen,treatment,cellline,similarity
Carbetocin,IL6,HA1E,0.7417
Carbetocin,TNF,HA1E,0.6533
Carbetocin,ARG1,HA1E,-0.6181
Carbetocin,TLR9,HA1E,-0.5912
Carbetocin,CD40,HEKTE,-0.5222
Carbetocin,CD81,HT29,0.495
Carbetocin,IL6R,PC3,0.4525
Carbetocin,CTLA4,VCAP,-0.604
Carbetocin,CD19,VCAP,0.591
Carbetocin,CD83,MCF7,0.5631
Carbetocin,IL1B,MCF7,0.5562
Carbetocin,CD46,MCF7,0.5517
Carbetocin,TLR7,A549,0.5495
Carbetocin,CD44,VCAP,0.3437
Desmopressin,TLR7,VCAP,0.4236
Desmopressin,CD83,MCF7,0.4198
Desmopressin,TLR9,MCF7,0.4169
Desmopressin,CTLA4,VCAP,-0.4046
Desmopressin,IL6,VCAP,0.3946
Desmopressin,CD44,MCF7,-0.3868
Desmopressin,ARG1,HA1E,0.36
Desmopressin,CD40,HCC515,0.3565
Desmopressin,CD81,HT29,-0.3374
Desmopressin,CD19,VCAP,0.3371
Desmopressin,IL1B,MCF7,0.3366
Desmopressin,IL6R,A549,-0.334
Desmopressin,CD46,A549,0.3436
Desmopressin,TNF,HEKTE,0.3277
Hydroxychloroquine,TNF,MCF7,-0.43120000000000003
Hydroxychloroquine,TLR9,MCF7,0.4278
Hydroxychloroquine,IL1B,MCF7,0.4221
Hydroxychloroquine,CD81,HT29,-0.417
Hydroxychloroquine,ARG1,HCC515,0.4104
Hydroxychloroquine,TLR7,HA1E,0.4071
Hydroxychloroquine,CTLA4,VCAP,-0.3956
Hydroxychloroquine,IL6,HA1E,-0.351
Hydroxychloroquine,CD83,HEPG2,0.4304
Hydroxychloroquine,CD40,HCC515,0.3297
Hydroxychloroquine,CD19,VCAP,0.3105
Hydroxychloroquine,CD46,HCC515,0.3056
Chloroquine,TNF,MCF7,0.7443
Chloroquine,CD40,MCF7,0.6049
Chloroquine,IL1B,HA1E,0.5877
Chloroquine,CD81,HT29,0.5605
Chloroquine,IL6,HA1E,0.5665
Chloroquine,CD46,PC3,0.5807
Chloroquine,CTLA4,VCAP,-0.6932
Chloroquine,TLR9,HA1E,0.6381
Chloroquine,ARG1,HCC515,0.6236
Chloroquine,TLR7,A549,0.5875
Chloroquine,CD83,A375,0.5754
Chloroquine,CD44,HT29,0.541
Chloroquine,CD19,VCAP,0.5268
Chloroquine,IL6R,HA1E,0.551
Bupropion,TLR9,HA1E,0.6281
Bupropion,TNF,HA1E,-0.6122
Bupropion,IL6,HA1E,-0.5782
Bupropion,CTLA4,VCAP,-0.5498
Bupropion,IL6R,PC3,0.5137
Bupropion,CD19,HA1E,-0.4922
Bupropion,CD83,A375,0.6406
Bupropion,TLR7,A375,0.6254
Bupropion,CD40,HCC515,0.5659
Bupropion,IL1B,A375,0.5403
Bupropion,CD44,VCAP,-0.5222
Bupropion,CD81,HT29,-0.4914
Bupropion,CD46,PC3,0.5254
Bupropion,ARG1,HA1E,0.5818
Lopinavir,ARG1,NPC,0.3943
Lopinavir,TLR7,HEPG2,0.3709
Lopinavir,CD19,HCC515,0.3562
Lopinavir,CD46,HT29,0.4882
Lopinavir,CD40,VCAP,0.4326
Lopinavir,IL1B,HA1E,0.314
Lopinavir,TNF,A375,0.6694
Lopinavir,CTLA4,VCAP,0.6624
Lopinavir,CD44,NPC,0.4902
Lopinavir,TLR9,HA1E,-0.4886
Lopinavir,CD81,A549,0.4669
Lopinavir,IL6,HA1E,0.4475
Lopinavir,CD83,HA1E,0.3776
