perturbagen,treatment,cellline,similarity
Bupropion,AGTR1,HCC515,-0.5281
Bupropion,CD40,HCC515,0.5659
Bupropion,AGT,HCC515,0.6692
Bupropion,ARG1,HCC515,0.6264
Carbetocin,AGTR1,HCC515,0.6538
Carbetocin,AGT,HCC515,-0.5869
Chloroquine,AGTR1,HCC515,0.6957
Desmopressin,AGTR1,HCC515,-0.362
Desmopressin,CD40,HCC515,0.3565
Lopinavir,AGTR1,HCC515,0.6788
Benazepril,AGT,HCC515,0.566
Benazepril,CD40,HCC515,0.5631
Benazepril,AGTR1,HCC515,-0.5078
Captopril,AGTR1,HCC515,0.5628
Enalapril,CD40,HCC515,0.6185
Enalapril,AGTR1,HCC515,0.7006
Fosinopril,CD40,HCC515,0.4784
Fosinopril,AGTR1,HCC515,0.7071
Lisinopril,AGTR1,HCC515,-0.5399
Moexipril,AGTR1,HCC515,0.5273
Moexipril,CD40,HCC515,0.5553
Olmesartan,ARG1,HCC515,0.6568
Olmesartan,AGTR1,HCC515,-0.6204
Perindopril,AGTR1,HCC515,0.5908
Perindopril,CD40,HCC515,0.456
Quinapril,AGTR1,HCC515,0.4596
Quinapril,AGT,HCC515,0.6239
Quinapril,CD40,HCC515,0.5598
Ramipril,AGTR1,HCC515,0.5522
Ramipril,AGT,HCC515,-0.4135
Telmisartan,AGTR1,HCC515,-0.4993
Valsartan,AGTR1,HCC515,0.5861
