perturbagen,treatment,cellline,similarity
Bupropion,TGFBR1,A549,0.5068
Carbetocin,TLR7,A549,-0.6014
Carbetocin,DPP4,A549,0.3855
Carbetocin,HEY1,A549,0.4136
Chloroquine,TLR7,A549,0.5875
Desmopressin,CCL20,A549,0.3831
Desmopressin,IL6R,A549,-0.334
Desmopressin,CD46,A549,0.3436
Desmopressin,CEACAM1,A549,0.411
Lopinavir,CEACAM1,A549,0.6311
Benazepril,CTLA4,A549,0.5843
Benazepril,CCL20,A549,0.614
Benazepril,CD19,A549,0.5088
Captopril,CD40,A549,0.5433
Captopril,CD83,A549,0.2885
Captopril,TLR7,A549,0.2783
Enalapril,CEACAM1,A549,0.6395
Fosinopril,HEY1,A549,0.4394
Fosinopril,TLR7,A549,0.5027
Fosinopril,CD46,A549,0.5862
Lisinopril,TLR7,A549,0.6165
Moexipril,TLR7,A549,0.618
Moexipril,CXCL2,A549,0.284
Olmesartan,TLR7,A549,0.6714
Perindopril,CD46,A549,0.4581
Perindopril,IL6R,A549,0.6224
Perindopril,IL2,A549,0.4977
Perindopril,TLR7,A549,0.5422
Ramipril,TLR7,A549,0.5601
Telmisartan,CD46,A549,0.4372
Telmisartan,TLR7,A549,0.6043
Valsartan,TLR7,A549,0.6496
Valsartan,CD46,A549,0.4492
Valsartan,MMEL1,A549,0.5875
Hydroxychloroquine,MMEL1,A549,0.3073
Hydroxychloroquine,CEACAM1,A549,0.647
Hydroxychloroquine,CD81,A549,0.5464
