perturbagen,treatment,cellline,similarity
Bupropion,CD83,HEPG2,0.6555
Bupropion,TLR7,HEPG2,0.6533
Carbetocin,CD83,HEPG2,-0.5826
Lopinavir,IL2,HEPG2,0.6028
Benazepril,CD83,HEPG2,0.5702
Captopril,IL2,HEPG2,0.5677
Enalapril,TLR7,HEPG2,0.5834
Enalapril,IL2,HEPG2,0.6671
Fosinopril,IL2,HEPG2,0.5908
Moexipril,CD83,HEPG2,0.5473
Olmesartan,CD83,HEPG2,0.6489
Quinapril,IL1B,HEPG2,0.349
Quinapril,CD83,HEPG2,0.5699
Quinapril,TLR7,HEPG2,0.521
Ramipril,IL2,HEPG2,0.4775
Telmisartan,IL2,HEPG2,0.6198
Hydroxychloroquine,CD83,HEPG2,0.4304
Hydroxychloroquine,IL2,HEPG2,0.5494
