similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.7417	1.3107e-96	547	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_16404
0.6533	6.9697e-68	547	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_16404
-0.634	7.7404e-63	547	CXCL1	CGS001-2919	96 h	LINCSKD_704	A375	LINCSCP_16404
-0.6181	6.062e-59	547	ARG1	CGS001-383	96 h	LINCSKD_8268	HA1E	LINCSCP_16404
-0.5912	7.3149e-53	547	TLR9	CGS001-54106	96 h	LINCSKD_11280	HA1E	LINCSCP_16404
0.5862	8.5368e-52	547	CXCL8	CGS001-3576	96 h	LINCSKD_15927	HEPG2	LINCSCP_16404
0.5805	1.3702e-50	547	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_16404
0.5785	3.6187e-50	547	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_16404
-0.5736	3.5558e-49	547	CXCL1	CGS001-2919	96 h	LINCSKD_8780	HA1E	LINCSCP_16404
0.5675	5.9495e-48	547	AGTR1	CGS001-185	96 h	LINCSKD_11784	HCC515	LINCSCP_16404
-0.5644	2.5075e-47	547	IL2	CGS001-3558	96 h	LINCSKD_9592	HA1E	LINCSCP_16404
0.5585	3.4424e-46	547	TGFBR2	CGS001-7048	96 h	LINCSKD_3193	A375	LINCSCP_16404
-0.5532	3.6095e-45	547	TGFB1	CGS001-7040	96 h	LINCSKD_11244	HA1E	LINCSCP_16404
-0.5479	3.5412e-44	547	CD83	CGS001-9308	96 h	LINCSKD_8567	HA1E	LINCSCP_16404
0.5448	1.3247e-43	547	CD19	CGS001-930	96 h	LINCSKD_8558	HA1E	LINCSCP_16404
-0.542	4.2992e-43	547	CEACAM1	CGS001-634	96 h	LINCSKD_8610	HA1E	LINCSCP_16404
0.5278	1.4857e-40	547	IL2	CGS001-3558	96 h	LINCSKD_15917	HEPG2	LINCSCP_16404
-0.5232	9.219e-40	547	CCL20	CGS001-6364	96 h	LINCSKD_8535	HA1E	LINCSCP_16404
-0.5226	1.1786e-39	547	IL2RB	CGS001-3560	96 h	LINCSKD_27670	PC3	LINCSCP_16404
-0.5222	1.3505e-39	547	CD40	CGS001-958	96 h	LINCSKD_14212	HEKTE	LINCSCP_16404
-0.5127	5.3517e-38	547	TLR7	CGS001-51284	96 h	LINCSKD_6832	A549	LINCSCP_16404
0.5069	4.82e-37	547	CCL2	CGS001-6347	96 h	LINCSKD_26896	PC3	LINCSCP_16404
-0.5044	1.212e-36	547	TLR7	CGS001-51284	96 h	LINCSKD_11278	HA1E	LINCSCP_16404
0.4964	2.28e-35	547	CD46	CGS001-4179	96 h	LINCSKD_490	A375	LINCSCP_16404
0.495	3.7757e-35	547	CD81	CGS001-975	96 h	LINCSKD_18326	HT29	LINCSCP_16404
-0.4857	9.9932e-34	547	IL2RB	CGS001-3560	96 h	LINCSKD_9596	HA1E	LINCSCP_16404
-0.4847	1.4423e-33	547	CD83	CGS001-9308	96 h	LINCSKD_14984	HEPG2	LINCSCP_16404
-0.4837	2.0232e-33	547	AGT	CGS001-183	96 h	LINCSKD_11783	HCC515	LINCSCP_16404
0.4794	8.9456e-33	547	ARG1	CGS001-383	96 h	LINCSKD_7324	ASC	LINCSCP_16404
-0.4792	9.3125e-33	547	IL2RB	CGS001-3560	96 h	LINCSKD_23169	MCF7	LINCSCP_16404
