similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4326	3.0286e-14	281	CD81	CGS001-975	96 h	LINCSKD_18326	HT29	LINCSCP_201694
0.4303	4.2697e-14	281	CTLA4	CGS001-1493	96 h	LINCSKD_27056	PC3	LINCSCP_201694
0.4242	1.0672e-13	281	TGFBR1	NA	96 h	LINCSKD_33723	HT29.311	LINCSCP_201694
0.4178	2.6734e-13	281	HEY1	CGS001-23462	96 h	LINCSKD_1355	A375	LINCSCP_201694
0.3959	5.5678e-12	281	LAP3	CGS001-51056	96 h	LINCSKD_25078	NPC	LINCSCP_201694
0.3953	6.0151e-12	281	ARG1	CGS001-383	96 h	LINCSKD_7324	ASC	LINCSCP_201694
0.3875	1.6784e-11	281	TGFBR2	CGS001-7048	96 h	LINCSKD_3193	A375	LINCSCP_201694
0.3875	1.6785e-11	281	AGTR1	CGS001-185	96 h	LINCSKD_17947	HT29	LINCSCP_201694
0.381	3.8565e-11	281	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_201694
0.3765	6.8365e-11	281	ARG1	CGS001-383	120 h	LINCSKD_30117	VCAP	LINCSCP_201694
0.3736	9.7157e-11	281	CEACAM1	CGS001-634	96 h	LINCSKD_4202	A549	LINCSCP_201694
0.3608	4.6202e-10	281	CTLA4	CGS001-1493	96 h	LINCSKD_18501	HT29	LINCSCP_201694
-0.3599	5.0999e-10	281	CD19	CGS001-930	120 h	LINCSKD_30377	VCAP	LINCSCP_201694
0.3591	5.6135e-10	281	TGFBR1	NA	96 h	LINCSKD_33829	MCF7.311	LINCSCP_201694
0.343	3.5584e-9	281	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_201694
0.3396	5.1866e-9	281	TGFBR2	NA	96 h	LINCSKD_33830	MCF7.311	LINCSCP_201694
0.3393	5.3279e-9	281	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_201694
0.3385	5.8151e-9	281	LAP3	CGS001-51056	96 h	LINCSKD_7645	ASC	LINCSCP_201694
0.3362	7.4513e-9	281	CD44	CGS001-960	96 h	LINCSKD_24747	NPC	LINCSCP_201694
-0.3355	8.0797e-9	281	TGFBR2	CGS001-7048	96 h	LINCSKD_24291	MCF7	LINCSCP_201694
0.3327	1.0938e-8	281	CCL2	CGS001-6347	96 h	LINCSKD_26896	PC3	LINCSCP_201694
0.3293	1.5667e-8	281	AGTR1	CGS001-185	96 h	LINCSKD_26623	PC3	LINCSCP_201694
0.3258	2.2641e-8	281	CTLA4	CGS001-1493	96 h	LINCSKD_4348	A549	LINCSCP_201694
-0.3258	2.2661e-8	281	IL2RB	CGS001-3560	96 h	LINCSKD_23169	MCF7	LINCSCP_201694
0.3243	2.6475e-8	281	AGT	CGS001-183	120 h	LINCSKD_30016	VCAP	LINCSCP_201694
0.3203	3.9862e-8	281	TNF	CGS001-7124	120 h	LINCSKD_32982	VCAP	LINCSCP_201694
0.3154	6.6194e-8	281	CD46	CGS001-4179	96 h	LINCSKD_4156	A549	LINCSCP_201694
0.3143	7.3929e-8	281	CCL20	CGS001-6364	96 h	LINCSKD_18298	HT29	LINCSCP_201694
0.3113	9.9318e-8	281	CD44	CGS001-960	96 h	LINCSKD_4155	A549	LINCSCP_201694
0.308	1.3713e-7	281	CXCL8	CGS001-3576	96 h	LINCSKD_15927	HEPG2	LINCSCP_201694
0.3079	1.3909e-7	281	CCL2	CGS001-6347	96 h	LINCSKD_8536	HA1E	LINCSCP_201694
0.3078	1.3993e-7	281	IL2	CGS001-3558	96 h	LINCSKD_15917	HEPG2	LINCSCP_201694
0.3013	2.6336e-7	281	ARG1	CGS001-383	96 h	LINCSKD_24665	NPC	LINCSCP_201694
0.2998	3.0355e-7	281	IL6	CGS001-3569	96 h	LINCSKD_5165	A549	LINCSCP_201694
0.2954	4.5857e-7	281	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_201694
0.2934	5.5503e-7	281	IL6	CGS001-3569	144 h	LINCSKD_34351	MCF7	LINCSCP_201694
0.2929	5.802e-7	281	TGFBR1	CGS001-7046	144 h	LINCSKD_36273	PC3	LINCSCP_201694
