similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4368	2.5544e-8	149	IL6	CGS001-3569	96 h	LINCSKD_5165	A549	LINCSCP_126460
0.4135	1.5887e-7	149	CEACAM1	CGS001-634	96 h	LINCSKD_540	A375	LINCSCP_126460
0.4095	2.1588e-7	149	CXCL2	CGS001-2920	96 h	LINCSKD_706	A375	LINCSCP_126460
0.383	1.4254e-6	149	CEACAM1	CGS001-634	96 h	LINCSKD_4202	A549	LINCSCP_126460
0.3793	1.8435e-6	149	TGFBR1	NA	96 h	LINCSKD_33829	MCF7.311	LINCSCP_126460
0.3753	2.4075e-6	149	TGFB1	CGS001-7040	96 h	LINCSKD_17438	HEPG2	LINCSCP_126460
0.3733	2.7548e-6	149	CD46	CGS001-4179	96 h	LINCSKD_18323	HT29	LINCSCP_126460
0.3563	8.2195e-6	149	CD44	CGS001-960	96 h	LINCSKD_4155	A549	LINCSCP_126460
0.3549	8.9339e-6	149	HEY1	CGS001-23462	96 h	LINCSKD_9414	HA1E	LINCSCP_126460
0.3525	0	149	HEY1	CGS001-23462	96 h	LINCSKD_1355	A375	LINCSCP_126460
0.3458	0	149	TGFBR2	NA	96 h	LINCSKD_33777	MCF7.101	LINCSCP_126460
0.3391	0	149	HEY1	CGS001-23462	96 h	LINCSKD_35126	MCF7	LINCSCP_126460
0.3361	0	149	TGFBR2	NA	96 h	LINCSKD_33618	HA1E.311	LINCSCP_126460
0.3359	0	149	CD40	CGS001-958	96 h	LINCSKD_22487	MCF7	LINCSCP_126460
0.3351	0	149	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_126460
0.3339	0	149	CD19	CGS001-930	96 h	LINCSKD_18318	HT29	LINCSCP_126460
0.3289	0	149	TLR7	CGS001-51284	144 h	LINCSKD_36279	PC3	LINCSCP_126460
0.3271	0	149	CD19	CGS001-930	144 h	LINCSKD_25819	PC3	LINCSCP_126460
0.3203	1e-4	149	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_126460
0.3201	1e-4	149	TGFBR1	NA	96 h	LINCSKD_33617	HA1E.311	LINCSCP_126460
0.3166	1e-4	149	IL1B	CGS001-3553	96 h	LINCSKD_15912	HEPG2	LINCSCP_126460
-0.3122	1e-4	149	CD83	CGS001-9308	96 h	LINCSKD_18327	HT29	LINCSCP_126460
0.2961	2e-4	149	IL6	CGS001-3569	96 h	LINCSKD_36707	PC3	LINCSCP_126460
0.2917	3e-4	149	CXCL2	CGS001-2920	96 h	LINCSKD_4368	A549	LINCSCP_126460
-0.2902	3e-4	149	CXCL2	CGS001-2920	144 h	LINCSKD_35790	PC3	LINCSCP_126460
-0.2844	4e-4	149	CTLA4	CGS001-1493	96 h	LINCSKD_686	A375	LINCSCP_126460
0.2826	5e-4	149	TGFBR1	NA	96 h	LINCSKD_33670	HELA.311	LINCSCP_126460
0.2823	5e-4	149	HEY1	CGS001-23462	96 h	LINCSKD_36664	PC3	LINCSCP_126460
0.2817	5e-4	149	NFKB1	CGS001-4790	96 h	LINCSKD_28060	PC3	LINCSCP_126460
-0.2784	6e-4	149	CXCL8	CGS001-3576	144 h	LINCSKD_35961	PC3	LINCSCP_126460
0.278	6e-4	149	CD44	CGS001-960	96 h	LINCSKD_24747	NPC	LINCSCP_126460
0.2771	6e-4	149	TGFBR2	NA	96 h	LINCSKD_33830	MCF7.311	LINCSCP_126460
-0.2756	7e-4	149	TGFBR1	CGS001-7046	96 h	LINCSKD_37042	PC3	LINCSCP_126460
-0.2723	8e-4	149	CCL20	CGS001-6364	96 h	LINCSKD_8535	HA1E	LINCSCP_126460
0.2705	8e-4	149	TGFBR2	NA	96 h	LINCSKD_33459	A375.311	LINCSCP_126460
0.2682	9e-4	149	TGFBR2	CGS001-7048	96 h	LINCSKD_3193	A375	LINCSCP_126460
-0.2668	0.001	149	IL1B	CGS001-3553	96 h	LINCSKD_19243	HT29	LINCSCP_126460
0.2655	0.0011	149	NFKB1	CGS001-4790	96 h	LINCSKD_2066	A375	LINCSCP_126460
0.263	0.0012	149	MMEL1	CGS001-79258	96 h	LINCSKD_5516	A549	LINCSCP_126460
0.2608	0.0013	149	CXCL8	CGS001-3576	96 h	LINCSKD_35166	MCF7	LINCSCP_126460
0.2588	0.0014	149	CTLA4	CGS001-1493	96 h	LINCSKD_27056	PC3	LINCSCP_126460
