similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.6108	6.3413e-35	328	CD81	CGS001-975	96 h	LINCSKD_18326	HT29	LINCSCP_281003
-0.5457	7.5912e-27	328	CXCL1	CGS001-2919	96 h	LINCSKD_704	A375	LINCSCP_281003
0.5292	4.5395e-25	328	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_281003
0.5232	1.9071e-24	328	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_281003
0.4975	6.5279e-22	328	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_281003
0.4943	1.3022e-21	328	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_281003
0.4752	7.0253e-20	328	IL2	CGS001-3558	96 h	LINCSKD_15917	HEPG2	LINCSCP_281003
0.4686	2.5991e-19	328	CD44	CGS001-960	120 h	LINCSKD_30381	VCAP	LINCSCP_281003
0.4606	1.2471e-18	328	CTLA4	CGS001-1493	96 h	LINCSKD_4348	A549	LINCSCP_281003
0.4553	3.4233e-18	328	ARG1	CGS001-383	96 h	LINCSKD_7324	ASC	LINCSCP_281003
0.4488	1.1619e-17	328	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_281003
0.4479	1.3856e-17	328	AGTR1	CGS001-185	96 h	LINCSKD_11784	HCC515	LINCSCP_281003
0.4431	3.3011e-17	328	CD44	CGS001-960	96 h	LINCSKD_24747	NPC	LINCSCP_281003
0.4426	3.6242e-17	328	IL2RA	CGS001-3559	96 h	LINCSKD_23168	MCF7	LINCSCP_281003
0.4345	1.5503e-16	328	ARG1	CGS001-383	120 h	LINCSKD_30117	VCAP	LINCSCP_281003
0.431	2.8701e-16	328	CCL2	CGS001-6347	96 h	LINCSKD_26896	PC3	LINCSCP_281003
0.4224	1.2584e-15	328	LAP3	CGS001-51056	96 h	LINCSKD_25078	NPC	LINCSCP_281003
0.4206	1.7005e-15	328	CXCL8	CGS001-3576	96 h	LINCSKD_15927	HEPG2	LINCSCP_281003
0.4158	3.8046e-15	328	NFKB1	CGS001-4790	96 h	LINCSKD_23521	MCF7	LINCSCP_281003
0.4155	4.0406e-15	328	TGFBR2	CGS001-7048	96 h	LINCSKD_3193	A375	LINCSCP_281003
0.4084	1.2864e-14	328	CEACAM1	CGS001-634	96 h	LINCSKD_540	A375	LINCSCP_281003
0.4079	1.3961e-14	328	MMEL1	CGS001-79258	96 h	LINCSKD_5516	A549	LINCSCP_281003
0.4009	4.2941e-14	328	CTLA4	CGS001-1493	96 h	LINCSKD_27056	PC3	LINCSCP_281003
0.3947	1.1305e-13	328	MMEL1	CGS001-79258	96 h	LINCSKD_9956	HA1E	LINCSCP_281003
0.3924	1.6004e-13	328	CD46	CGS001-4179	96 h	LINCSKD_490	A375	LINCSCP_281003
-0.3912	1.952e-13	328	TLR7	CGS001-51284	96 h	LINCSKD_6832	A549	LINCSCP_281003
-0.3847	5.2154e-13	328	CD40	CGS001-958	96 h	LINCSKD_12028	HCC515	LINCSCP_281003
