similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4454	1.4743e-12	229	CD81	CGS001-975	96 h	LINCSKD_18326	HT29	LINCSCP_142947
0.4164	5.0907e-11	229	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_142947
0.3942	6.1963e-10	229	CTLA4	CGS001-1493	96 h	LINCSKD_18501	HT29	LINCSCP_142947
0.3927	7.3256e-10	229	CTLA4	CGS001-1493	96 h	LINCSKD_27056	PC3	LINCSCP_142947
0.3808	2.5753e-9	229	CD46	CGS001-4179	96 h	LINCSKD_4156	A549	LINCSCP_142947
0.3552	3.2464e-8	229	CD44	CGS001-960	96 h	LINCSKD_4155	A549	LINCSCP_142947
0.3391	1.4394e-7	229	AGTR1	CGS001-185	96 h	LINCSKD_22228	MCF7	LINCSCP_142947
0.3347	2.1246e-7	229	CD19	CGS001-930	96 h	LINCSKD_18318	HT29	LINCSCP_142947
-0.3285	3.6527e-7	229	CD44	CGS001-960	96 h	LINCSKD_18322	HT29	LINCSCP_142947
-0.328	3.8107e-7	229	CD83	CGS001-9308	96 h	LINCSKD_497	A375	LINCSCP_142947
0.3179	8.9611e-7	229	IL6R	CGS001-3570	96 h	LINCSKD_9601	HA1E	LINCSCP_142947
0.3124	1.415e-6	229	IL1B	CGS001-3553	96 h	LINCSKD_15912	HEPG2	LINCSCP_142947
-0.307	2.1931e-6	229	IL2RB	CGS001-3560	96 h	LINCSKD_23169	MCF7	LINCSCP_142947
0.3065	2.2752e-6	229	IL2RA	CGS001-3559	96 h	LINCSKD_23168	MCF7	LINCSCP_142947
0.3027	3.074e-6	229	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_142947
0.3003	3.7122e-6	229	IL2RA	CGS001-3559	96 h	LINCSKD_9595	HA1E	LINCSCP_142947
0.2867	0	229	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_142947
