similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.2894	1.7007e-12	572	ANPEP	CGS001-290	96 h	LINCSKD_26673	PC3	LINCSCP_161251
-0.2724	3.4581e-11	572	TGFBR1	NA	96 h	LINCSKD_33670	HELA.311	LINCSCP_161251
0.2657	1.0604e-10	572	CD83	CGS001-9308	144 h	LINCSKD_35740	PC3	LINCSCP_161251
0.2509	1.1659e-9	572	CD83	CGS001-9308	96 h	LINCSKD_18327	HT29	LINCSCP_161251
0.2342	1.4418e-8	572	ANPEP	CGS001-290	96 h	LINCSKD_18011	HT29	LINCSCP_161251
0.2322	1.9312e-8	572	ARG1	CGS001-383	96 h	LINCSKD_3862	A549	LINCSCP_161251
-0.2183	1.3333e-7	572	TGFBR2	NA	96 h	LINCSKD_33671	HELA.311	LINCSCP_161251
0.2121	3.0637e-7	572	HEY1	CGS001-23462	96 h	LINCSKD_19082	HT29	LINCSCP_161251
0.2112	3.4483e-7	572	CD83	CGS001-9308	96 h	LINCSKD_36470	PC3	LINCSCP_161251
0.2093	4.415e-7	572	ARG1	CGS001-383	96 h	LINCSKD_14709	HEPG2	LINCSCP_161251
0.2089	4.6465e-7	572	CD44	CGS001-960	96 h	LINCSKD_14980	HEPG2	LINCSCP_161251
-0.2056	7.1092e-7	572	CD19	CGS001-930	144 h	LINCSKD_25819	PC3	LINCSCP_161251
0.2024	1.0573e-6	572	DPP4	CGS001-1803	96 h	LINCSKD_27143	PC3	LINCSCP_161251
0.2003	1.3665e-6	572	CD19	CGS001-930	96 h	LINCSKD_18318	HT29	LINCSCP_161251
