similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.6864	3.4659e-61	430	TGFBR2	CGS001-7048	96 h	LINCSKD_20746	HT29	LINCSCP_190257
0.6778	3.8178e-59	430	CXCL1	CGS001-2919	96 h	LINCSKD_704	A375	LINCSCP_190257
0.6496	6.6431e-53	430	TLR7	CGS001-51284	96 h	LINCSKD_6832	A549	LINCSCP_190257
0.6377	1.8738e-50	430	IL2RB	CGS001-3560	96 h	LINCSKD_27670	PC3	LINCSCP_190257
0.6199	5.2195e-47	430	CEACAM1	CGS001-634	96 h	LINCSKD_8610	HA1E	LINCSCP_190257
0.6169	1.9113e-46	430	TGFBR2	CGS001-7048	120 h	LINCSKD_32938	VCAP	LINCSCP_190257
-0.6166	2.1301e-46	430	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_190257
-0.6117	1.6976e-45	430	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_190257
-0.6085	6.5075e-45	430	CCL2	CGS001-6347	96 h	LINCSKD_26896	PC3	LINCSCP_190257
0.6031	5.9756e-44	430	IL2	CGS001-3558	96 h	LINCSKD_1535	A375	LINCSCP_190257
0.591	7.6547e-42	430	ANPEP	CGS001-290	96 h	LINCSKD_18011	HT29	LINCSCP_190257
0.5894	1.4217e-41	430	TGFBR2	CGS001-7048	96 h	LINCSKD_24291	MCF7	LINCSCP_190257
0.5866	4.1441e-41	430	ARG1	CGS001-383	96 h	LINCSKD_11845	HCC515	LINCSCP_190257
0.5843	9.93e-41	430	CD83	CGS001-9308	96 h	LINCSKD_14984	HEPG2	LINCSCP_190257
-0.5826	1.9002e-40	430	CEACAM1	CGS001-634	96 h	LINCSKD_4202	A549	LINCSCP_190257
0.5752	3.0634e-39	430	IL2RB	CGS001-3560	96 h	LINCSKD_23169	MCF7	LINCSCP_190257
-0.5717	1.1154e-38	430	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_190257
0.5674	5.2287e-38	430	IL2RB	CGS001-3560	96 h	LINCSKD_5161	A549	LINCSCP_190257
0.5664	7.6535e-38	430	TLR9	CGS001-54106	96 h	LINCSKD_11280	HA1E	LINCSCP_190257
0.5614	4.4416e-37	430	CD83	CGS001-9308	96 h	LINCSKD_497	A375	LINCSCP_190257
0.5563	2.6078e-36	430	CCL20	CGS001-6364	96 h	LINCSKD_8535	HA1E	LINCSCP_190257
0.5482	4.2147e-35	430	ARG1	CGS001-383	96 h	LINCSKD_8268	HA1E	LINCSCP_190257
-0.5472	5.939e-35	430	CEACAM1	CGS001-634	96 h	LINCSKD_540	A375	LINCSCP_190257
0.547	6.294e-35	430	CD40	CGS001-958	96 h	LINCSKD_14212	HEKTE	LINCSCP_190257
0.5437	1.8777e-34	430	ANPEP	CGS001-290	96 h	LINCSKD_14673	HEPG2	LINCSCP_190257
0.5403	5.8287e-34	430	IL2	CGS001-3558	96 h	LINCSKD_5157	A549	LINCSCP_190257
0.5386	1.0199e-33	430	CD44	CGS001-960	96 h	LINCSKD_18322	HT29	LINCSCP_190257
0.5333	5.6536e-33	430	TLR9	CGS001-54106	96 h	LINCSKD_6834	A549	LINCSCP_190257
0.5331	6.1288e-33	430	IL2RB	CGS001-3560	96 h	LINCSKD_9596	HA1E	LINCSCP_190257
0.528	3.0848e-32	430	AGT	CGS001-183	96 h	LINCSKD_85	A375	LINCSCP_190257
0.528	3.1008e-32	430	CD83	CGS001-9308	96 h	LINCSKD_8567	HA1E	LINCSCP_190257
0.5279	3.2004e-32	430	IL2	CGS001-3558	96 h	LINCSKD_9592	HA1E	LINCSCP_190257
-0.5278	3.2628e-32	430	AGTR1	CGS001-185	96 h	LINCSKD_11784	HCC515	LINCSCP_190257
