similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4965	1.2094e-18	277	AGTR1	CGS001-185	96 h	LINCSKD_11784	HCC515	LINCSCP_21097
0.4853	8.9681e-18	277	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_21097
0.4839	1.153e-17	277	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_21097
0.4709	1.0697e-16	277	CTLA4	CGS001-1493	96 h	LINCSKD_4348	A549	LINCSCP_21097
0.4515	2.5634e-15	277	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_21097
-0.4204	2.7524e-13	277	CD83	CGS001-9308	96 h	LINCSKD_497	A375	LINCSCP_21097
0.4101	1.1574e-12	277	CTLA4	CGS001-1493	96 h	LINCSKD_15163	HEPG2	LINCSCP_21097
-0.401	3.9898e-12	277	CD44	CGS001-960	96 h	LINCSKD_18322	HT29	LINCSCP_21097
0.3946	9.3375e-12	277	CD81	CGS001-975	96 h	LINCSKD_4160	A549	LINCSCP_21097
0.3879	2.226e-11	277	ARG1	CGS001-383	96 h	LINCSKD_7324	ASC	LINCSCP_21097
0.3828	4.2635e-11	277	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_21097
0.3792	6.6865e-11	277	CD46	CGS001-4179	96 h	LINCSKD_12029	HCC515	LINCSCP_21097
