similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.3679	2.2655e-11	310	TGFBR1	CGS001-7046	120 h	LINCSKD_32937	VCAP	LINCSCP_121625
0.3456	3.9934e-10	310	LAP3	CGS001-51056	96 h	LINCSKD_9756	HA1E	LINCSCP_121625
0.3175	1.0947e-8	310	IL2RA	CGS001-3559	96 h	LINCSKD_27669	PC3	LINCSCP_121625
0.3027	5.4639e-8	310	TLR7	CGS001-51284	120 h	LINCSKD_32970	VCAP	LINCSCP_121625
0.2985	8.4969e-8	310	ANPEP	CGS001-290	120 h	LINCSKD_30080	VCAP	LINCSCP_121625
0.295	1.2127e-7	310	IL1B	CGS001-3553	96 h	LINCSKD_15912	HEPG2	LINCSCP_121625
0.291	1.8225e-7	310	CXCL1	CGS001-2919	96 h	LINCSKD_15180	HEPG2	LINCSCP_121625
0.2877	2.535e-7	310	TGFBR1	NA	96 h	LINCSKD_33882	PC3.101	LINCSCP_121625
0.2866	2.8409e-7	310	IL6	CGS001-3569	120 h	LINCSKD_31339	VCAP	LINCSCP_121625
0.2857	3.0997e-7	310	ARG1	CGS001-383	96 h	LINCSKD_8268	HA1E	LINCSCP_121625
0.2776	6.8156e-7	310	IL1B	CGS001-3553	96 h	LINCSKD_23163	MCF7	LINCSCP_121625
0.271	1.2763e-6	310	TGFBR2	NA	96 h	LINCSKD_33883	PC3.101	LINCSCP_121625
0.2659	2.0567e-6	310	TGFBR2	CGS001-7048	96 h	LINCSKD_20746	HT29	LINCSCP_121625
0.2609	3.2305e-6	310	CTLA4	CGS001-1493	96 h	LINCSKD_12167	HCC515	LINCSCP_121625
0.2603	3.4125e-6	310	CD83	CGS001-9308	144 h	LINCSKD_34124	MCF7	LINCSCP_121625
-0.2599	3.5328e-6	310	HEY1	CGS001-23462	96 h	LINCSKD_1355	A375	LINCSCP_121625
0.2558	5.0557e-6	310	CCL2	CGS001-6347	96 h	LINCSKD_14956	HEPG2	LINCSCP_121625
0.2543	5.8071e-6	310	CD46	CGS001-4179	96 h	LINCSKD_12029	HCC515	LINCSCP_121625
0.2516	7.294e-6	310	CEACAM1	CGS001-634	96 h	LINCSKD_8610	HA1E	LINCSCP_121625
0.2467	0	310	TLR7	CGS001-51284	96 h	LINCSKD_17468	HEPG2	LINCSCP_121625
0.245	0	310	CD46	CGS001-4179	96 h	LINCSKD_22488	MCF7	LINCSCP_121625
0.2431	0	310	TGFBR2	CGS001-7048	120 h	LINCSKD_32938	VCAP	LINCSCP_121625
0.2424	0	310	CD40	CGS001-958	96 h	LINCSKD_488	A375	LINCSCP_121625
0.2404	0	310	TLR7	CGS001-51284	96 h	LINCSKD_11278	HA1E	LINCSCP_121625
0.2392	0	310	DPP4	CGS001-1803	96 h	LINCSKD_22683	MCF7	LINCSCP_121625
0.2387	0	310	MMEL1	CGS001-79258	120 h	LINCSKD_31703	VCAP	LINCSCP_121625
