similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.5549	2.8298e-15	172	CD46	CGS001-4179	120 h	LINCSKD_30382	VCAP	LINCSCP_40125
0.5118	7.2232e-13	172	TLR7	CGS001-51284	96 h	LINCSKD_17468	HEPG2	LINCSCP_40125
0.447	7.863e-10	172	TGFBR2	CGS001-7048	120 h	LINCSKD_32938	VCAP	LINCSCP_40125
0.4383	1.8255e-9	172	TLR9	CGS001-54106	96 h	LINCSKD_17470	HEPG2	LINCSCP_40125
0.437	2.056e-9	172	IL2RB	CGS001-3560	96 h	LINCSKD_27670	PC3	LINCSCP_40125
0.4329	2.9976e-9	172	IL2RA	CGS001-3559	120 h	LINCSKD_31334	VCAP	LINCSCP_40125
0.4273	5.016e-9	172	IL2	CGS001-3558	96 h	LINCSKD_1535	A375	LINCSCP_40125
0.4224	7.8514e-9	172	CD40	CGS001-958	96 h	LINCSKD_14212	HEKTE	LINCSCP_40125
0.4138	1.6757e-8	172	TGFBR1	CGS001-7046	120 h	LINCSKD_32937	VCAP	LINCSCP_40125
0.4114	2.0599e-8	172	CEACAM1	CGS001-634	96 h	LINCSKD_8610	HA1E	LINCSCP_40125
0.3922	1.0313e-7	172	IL6	CGS001-3569	120 h	LINCSKD_31339	VCAP	LINCSCP_40125
0.387	1.5671e-7	172	IL2RB	CGS001-3560	96 h	LINCSKD_23169	MCF7	LINCSCP_40125
0.3764	3.5888e-7	172	CD40	CGS001-958	96 h	LINCSKD_12028	HCC515	LINCSCP_40125
0.3725	4.869e-7	172	ANPEP	CGS001-290	96 h	LINCSKD_8231	HA1E	LINCSCP_40125
0.3693	6.1762e-7	172	TGFBR2	NA	96 h	LINCSKD_33512	A549.311	LINCSCP_40125
0.3685	6.5588e-7	172	AGT	CGS001-183	96 h	LINCSKD_85	A375	LINCSCP_40125
0.3668	7.4573e-7	172	TLR9	CGS001-54106	96 h	LINCSKD_11280	HA1E	LINCSCP_40125
0.3662	7.821e-7	172	TGFBR2	CGS001-7048	96 h	LINCSKD_24291	MCF7	LINCSCP_40125
0.3575	1.4796e-6	172	IL2RB	CGS001-3560	96 h	LINCSKD_1539	A375	LINCSCP_40125
0.357	1.5251e-6	172	ARG1	CGS001-383	96 h	LINCSKD_11845	HCC515	LINCSCP_40125
0.3567	1.5582e-6	172	CXCL1	CGS001-2919	96 h	LINCSKD_704	A375	LINCSCP_40125
0.3544	1.8424e-6	172	IL1B	CGS001-3553	96 h	LINCSKD_23163	MCF7	LINCSCP_40125
0.3532	2.0108e-6	172	IL2RB	CGS001-3560	96 h	LINCSKD_9596	HA1E	LINCSCP_40125
0.3504	2.4437e-6	172	CD46	CGS001-4179	96 h	LINCSKD_22488	MCF7	LINCSCP_40125
0.349	2.697e-6	172	CD83	CGS001-9308	96 h	LINCSKD_497	A375	LINCSCP_40125
0.3458	3.3808e-6	172	TGFB1	CGS001-7040	96 h	LINCSKD_11244	HA1E	LINCSCP_40125
0.3449	3.6103e-6	172	CXCL1	CGS001-2919	96 h	LINCSKD_15180	HEPG2	LINCSCP_40125
0.3361	6.5744e-6	172	TLR7	CGS001-51284	96 h	LINCSKD_6832	A549	LINCSCP_40125
0.3336	7.7567e-6	172	TLR9	CGS001-54106	96 h	LINCSKD_13861	HCC515	LINCSCP_40125
