similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.7159	1.1571e-67	423	IL6	CGS001-3569	96 h	LINCSKD_9600	HA1E	LINCSCP_20189
0.6652	2.2095e-55	423	TNF	CGS001-7124	96 h	LINCSKD_3241	A375	LINCSCP_20189
0.6538	6.1264e-53	423	AGTR1	CGS001-185	96 h	LINCSKD_11784	HCC515	LINCSCP_20189
-0.6439	6.5744e-51	423	CXCL1	CGS001-2919	96 h	LINCSKD_704	A375	LINCSCP_20189
0.6419	1.7193e-50	423	CTLA4	CGS001-1493	120 h	LINCSKD_30568	VCAP	LINCSCP_20189
0.6315	1.8377e-48	423	CCL2	CGS001-6347	96 h	LINCSKD_26896	PC3	LINCSCP_20189
0.6094	2.3334e-44	423	TGFBR2	CGS001-7048	96 h	LINCSKD_3193	A375	LINCSCP_20189
-0.6014	5.8222e-43	423	TLR7	CGS001-51284	96 h	LINCSKD_6832	A549	LINCSCP_20189
0.6003	9.1387e-43	423	CXCL8	CGS001-3576	96 h	LINCSKD_15927	HEPG2	LINCSCP_20189
0.5995	1.2276e-42	423	TNF	CGS001-7124	96 h	LINCSKD_11298	HA1E	LINCSCP_20189
-0.5869	1.6276e-40	423	AGT	CGS001-183	96 h	LINCSKD_11783	HCC515	LINCSCP_20189
-0.5768	7.0588e-39	423	TGFBR2	CGS001-7048	120 h	LINCSKD_32938	VCAP	LINCSCP_20189
-0.5641	6.5958e-37	423	IL2RB	CGS001-3560	96 h	LINCSKD_27670	PC3	LINCSCP_20189
0.5604	2.4221e-36	423	CTLA4	CGS001-1493	96 h	LINCSKD_4348	A549	LINCSCP_20189
0.5598	2.9481e-36	423	ARG1	CGS001-383	96 h	LINCSKD_7324	ASC	LINCSCP_20189
-0.5591	3.6937e-36	423	CD83	CGS001-9308	96 h	LINCSKD_497	A375	LINCSCP_20189
-0.5536	2.4237e-35	423	CXCL1	CGS001-2919	96 h	LINCSKD_8780	HA1E	LINCSCP_20189
-0.5532	2.7752e-35	423	CD83	CGS001-9308	96 h	LINCSKD_8567	HA1E	LINCSCP_20189
0.5483	1.4339e-34	423	TNF	CGS001-7124	96 h	LINCSKD_24319	MCF7	LINCSCP_20189
0.5411	1.5447e-33	423	CD44	CGS001-960	120 h	LINCSKD_30381	VCAP	LINCSCP_20189
0.5404	1.9196e-33	423	CD19	CGS001-930	96 h	LINCSKD_8558	HA1E	LINCSCP_20189
-0.5401	2.0885e-33	423	ARG1	CGS001-383	96 h	LINCSKD_11845	HCC515	LINCSCP_20189
-0.5351	1.0574e-32	423	IL2RB	CGS001-3560	96 h	LINCSKD_23169	MCF7	LINCSCP_20189
-0.5322	2.583e-32	423	CD40	CGS001-958	96 h	LINCSKD_14212	HEKTE	LINCSCP_20189
-0.5268	1.3967e-31	423	TLR9	CGS001-54106	96 h	LINCSKD_11280	HA1E	LINCSCP_20189
-0.526	1.7982e-31	423	ARG1	CGS001-383	96 h	LINCSKD_8268	HA1E	LINCSCP_20189
-0.5238	3.5908e-31	423	CD83	CGS001-9308	96 h	LINCSKD_14984	HEPG2	LINCSCP_20189
0.5228	4.8343e-31	423	CEACAM1	CGS001-634	96 h	LINCSKD_540	A375	LINCSCP_20189
0.5204	9.9238e-31	423	CD46	CGS001-4179	96 h	LINCSKD_490	A375	LINCSCP_20189
