similarity	pValue	nGenes	treatment	perturbagenID	time	signatureid	cellline	Source_Signature
0.4814	5.9466e-11	165	CD46	CGS001-4179	96 h	LINCSKD_18323	HT29	LINCSCP_108857
0.4373	4.2661e-9	165	TGFBR2	NA	96 h	LINCSKD_33618	HA1E.311	LINCSCP_108857
0.4361	4.759e-9	165	TGFBR1	NA	96 h	LINCSKD_33564	HA1E.101	LINCSCP_108857
0.4265	1.1118e-8	165	TGFBR1	NA	96 h	LINCSKD_33511	A549.311	LINCSCP_108857
0.4106	4.3277e-8	165	CCL2	CGS001-6347	96 h	LINCSKD_18299	HT29	LINCSCP_108857
0.3904	2.1687e-7	165	TGFBR2	NA	96 h	LINCSKD_33724	HT29.311	LINCSCP_108857
0.3793	5.0541e-7	165	TGFBR1	NA	96 h	LINCSKD_33829	MCF7.311	LINCSCP_108857
0.3499	4.0878e-6	165	TLR9	CGS001-54106	96 h	LINCSKD_11280	HA1E	LINCSCP_108857
0.3491	4.3044e-6	165	TGFBR1	NA	96 h	LINCSKD_33776	MCF7.101	LINCSCP_108857
0.349	4.3556e-6	165	IL1B	CGS001-3553	96 h	LINCSKD_15912	HEPG2	LINCSCP_108857
0.3487	4.4206e-6	165	CXCL2	CGS001-2920	96 h	LINCSKD_15182	HEPG2	LINCSCP_108857
0.324	0	165	CD44	CGS001-960	96 h	LINCSKD_4155	A549	LINCSCP_108857
0.3222	0	165	TGFB1	CGS001-7040	96 h	LINCSKD_11244	HA1E	LINCSCP_108857
0.3116	0	165	CCL2	CGS001-6347	96 h	LINCSKD_461	A375	LINCSCP_108857
0.3111	0	165	TGFBR1	NA	96 h	LINCSKD_33458	A375.311	LINCSCP_108857
0.3093	1e-4	165	TGFB1	CGS001-7040	96 h	LINCSKD_6798	A549	LINCSCP_108857
0.3078	1e-4	165	IL2	CGS001-3558	96 h	LINCSKD_9592	HA1E	LINCSCP_108857
0.3059	1e-4	165	TLR9	CGS001-54106	120 h	LINCSKD_32971	VCAP	LINCSCP_108857
0.3022	1e-4	165	ANPEP	CGS001-290	96 h	LINCSKD_152	A375	LINCSCP_108857
0.3013	1e-4	165	TGFBR1	NA	96 h	LINCSKD_33670	HELA.311	LINCSCP_108857
0.2987	1e-4	165	TGFBR1	NA	96 h	LINCSKD_33617	HA1E.311	LINCSCP_108857
0.2975	1e-4	165	TGFBR2	CGS001-7048	96 h	LINCSKD_14494	HEKTE	LINCSCP_108857
0.2866	2e-4	165	TNF	CGS001-7124	96 h	LINCSKD_14496	HEKTE	LINCSCP_108857
0.285	2e-4	165	TGFBR2	NA	96 h	LINCSKD_33830	MCF7.311	LINCSCP_108857
0.2847	2e-4	165	TGFBR1	CGS001-7046	120 h	LINCSKD_32937	VCAP	LINCSCP_108857
0.2824	2e-4	165	TGFBR1	NA	96 h	LINCSKD_33988	YAPC.311	LINCSCP_108857
0.2773	3e-4	165	TGFBR2	NA	96 h	LINCSKD_33459	A375.311	LINCSCP_108857
0.2751	3e-4	165	TGFBR2	NA	96 h	LINCSKD_33512	A549.311	LINCSCP_108857
0.2692	5e-4	165	TLR7	CGS001-51284	96 h	LINCSKD_3222	A375	LINCSCP_108857
0.2623	7e-4	165	TGFBR2	NA	96 h	LINCSKD_33565	HA1E.101	LINCSCP_108857
0.2578	8e-4	165	TLR9	CGS001-54106	96 h	LINCSKD_13861	HCC515	LINCSCP_108857
0.2575	8e-4	165	CD46	CGS001-4179	96 h	LINCSKD_4156	A549	LINCSCP_108857
0.2561	9e-4	165	TNF	CGS001-7124	96 h	LINCSKD_28936	PC3	LINCSCP_108857
0.2557	9e-4	165	CTLA4	CGS001-1493	96 h	LINCSKD_27056	PC3	LINCSCP_108857
0.2526	0.0011	165	TGFBR2	CGS001-7048	96 h	LINCSKD_28905	PC3	LINCSCP_108857
0.2497	0.0012	165	NFKB1	CGS001-4790	96 h	LINCSKD_19710	HT29	LINCSCP_108857
0.2476	0.0013	165	TGFBR3	CGS001-7049	120 h	LINCSKD_32939	VCAP	LINCSCP_108857
0.2454	0.0015	165	TGFB1	CGS001-7040	96 h	LINCSKD_17438	HEPG2	LINCSCP_108857
0.2417	0.0018	165	CEACAM1	CGS001-634	96 h	LINCSKD_8610	HA1E	LINCSCP_108857
0.237	0.0022	165	DPP4	CGS001-1803	120 h	LINCSKD_30688	VCAP	LINCSCP_108857
0.2325	0.0027	165	CXCL2	CGS001-2920	96 h	LINCSKD_706	A375	LINCSCP_108857
0.2302	0.0029	165	IL2RB	CGS001-3560	96 h	LINCSKD_9596	HA1E	LINCSCP_108857
