SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_103853	Perindopril	ACE	10uM	HELA	24h	
LINCSCP_103855	Perindopril	ACE	1.11uM	HELA	24h	
LINCSCP_103857	Perindopril	ACE	0.12uM	HELA	24h	
LINCSCP_14791	Perindopril	ACE	10uM	HA1E	24h	0
LINCSCP_155433	Perindopril	ACE	3.33uM	PC3	24h	
LINCSCP_155435	Perindopril	ACE	0.37uM	PC3	24h	
LINCSCP_155437	Perindopril	ACE	0.04uM	PC3	24h	
LINCSCP_169036	Perindopril	ACE	0.12uM	YAPC	24h	
LINCSCP_18984	Perindopril	ACE	10uM	HCC515	24h	0
LINCSCP_21571	Perindopril	ACE	10uM	HEPG2	6h	1
LINCSCP_2652	Perindopril	ACE	10uM	A375	6h	1
LINCSCP_290746	Perindopril	ACE	10uM	VCAP	24h	0
LINCSCP_33032	Perindopril	ACE	10uM	MCF7	6h	1
LINCSCP_48051	UNII-E77W873JI7	ACE	10uM	PC3	6h	1
LINCSCP_6916	Perindopril	ACE	10uM	A549	24h	0
LINCSCP_73708	Perindopril	ACE	3.33uM	A375	24h	
LINCSCP_73710	Perindopril	ACE	0.37uM	A375	24h	
LINCSCP_73712	Perindopril	ACE	0.04uM	A375	24h	
LINCSCP_92044	Perindopril	ACE	10uM	HA1E	24h	
LINCSCP_92045	Perindopril	ACE	3.33uM	HA1E	24h	
